TIMESLICE,YEAR,VALUE
S2D1,2033,0.0562
S2D1,2034,0.0562
S2D1,2035,0.0562
S2D1,2036,0.0562
S2D1,2037,0.0562
S2D1,2038,0.0562
S2D1,2039,0.0562
S2D1,2040,0.0562
S2D1,2041,0.0562
S2D1,2042,0.0562
S2D1,2043,0.0562
S2D1,2044,0.0562
S2D1,2045,0.0562
S2D1,2046,0.0562
S2D1,2047,0.0562
S2D1,2048,0.0562
S2D1,2049,0.0562
S2D1,2050,0.0562
S2D6,2021,0.0562
S2D6,2022,0.0562
S2D6,2023,0.0562
S2D6,2024,0.0562
S2D6,2025,0.0562
S2D6,2026,0.0562
S2D6,2027,0.0562
S2D6,2028,0.0562
S2D6,2029,0.0562
S2D6,2030,0.0562
S2D6,2031,0.0562
S2D6,2032,0.0562
S2D6,2033,0.0562
S2D6,2034,0.0562
S2D6,2035,0.0562
S2D6,2036,0.0562
S2D6,2037,0.0562
S2D6,2038,0.0562
S2D6,2039,0.0562
S2D6,2040,0.0562
S2D6,2041,0.0562
S2D6,2042,0.0562
S2D6,2043,0.0562
S2D6,2044,0.0562
S2D6,2045,0.0562
S2D6,2046,0.0562
S2D6,2047,0.0562
S2D6,2048,0.0562
S2D6,2049,0.0562
S2D6,2050,0.0562
S3D2,2021,0.0557
S3D2,2022,0.0557
S3D2,2023,0.0557
S3D2,2024,0.0557
S3D2,2025,0.0557
S3D2,2026,0.0557
S3D2,2027,0.0557
S3D2,2028,0.0557
S3D2,2029,0.0557
S3D2,2030,0.0557
S3D2,2031,0.0557
S3D2,2032,0.0557
S3D2,2033,0.0557
S3D2,2034,0.0557
S3D2,2035,0.0557
S3D2,2036,0.0557
S3D2,2037,0.0557
S3D2,2038,0.0557
S3D2,2039,0.0557
S3D2,2040,0.0557
S3D2,2041,0.0557
S3D2,2042,0.0557
S3D2,2043,0.0557
S3D2,2044,0.0557
S3D2,2045,0.0557
S3D2,2046,0.0557
S3D2,2047,0.0557
S3D2,2048,0.0557
S3D2,2049,0.0557
S3D2,2050,0.0557
S3D3,2021,0.0557
S3D3,2022,0.0557
S3D3,2023,0.0557
S3D3,2024,0.0557
S3D3,2025,0.0557
S3D3,2026,0.0557
S3D3,2027,0.0557
S3D3,2028,0.0557
S3D3,2029,0.0557
S3D3,2030,0.0557
S3D3,2031,0.0557
S3D3,2032,0.0557
S3D3,2033,0.0557
S3D3,2034,0.0557
S3D3,2035,0.0557
S3D3,2036,0.0557
S3D3,2037,0.0557
S3D3,2038,0.0557
S3D3,2039,0.0557
S3D3,2040,0.0557
S3D3,2041,0.0557
S3D3,2042,0.0557
S3D3,2043,0.0557
S3D3,2044,0.0557
S3D3,2045,0.0557
S3D3,2046,0.0557
S3D3,2047,0.0557
S3D3,2048,0.0557
S3D3,2049,0.0557
S3D3,2050,0.0557
S3D1,2021,0.0557
S3D1,2022,0.0557
S3D1,2023,0.0557
S3D1,2024,0.0557
S3D1,2025,0.0557
S3D1,2026,0.0557
S3D1,2027,0.0557
S3D1,2028,0.0557
S3D1,2029,0.0557
S3D1,2030,0.0557
S3D1,2031,0.0557
S3D1,2032,0.0557
S3D1,2033,0.0557
S3D1,2034,0.0557
S3D1,2035,0.0557
S3D1,2036,0.0557
S3D1,2037,0.0557
S3D1,2038,0.0557
S3D1,2039,0.0557
S3D1,2040,0.0557
S3D1,2041,0.0557
S3D1,2042,0.0557
S3D1,2043,0.0557
S3D1,2044,0.0557
S3D1,2045,0.0557
S3D1,2046,0.0557
S3D1,2047,0.0557
S3D1,2048,0.0557
S3D1,2049,0.0557
S3D1,2050,0.0557
S3D6,2021,0.0557
S3D6,2022,0.0557
S3D6,2023,0.0557
S3D6,2024,0.0557
S3D6,2025,0.0557
S3D6,2026,0.0557
S3D6,2027,0.0557
S3D6,2028,0.0557
S3D6,2029,0.0557
S3D6,2030,0.0557
S3D6,2031,0.0557
S3D6,2032,0.0557
S3D6,2033,0.0557
S3D6,2034,0.0557
S3D6,2035,0.0557
S3D6,2036,0.0557
S3D6,2037,0.0557
S3D6,2038,0.0557
S3D6,2039,0.0557
S3D6,2040,0.0557
S3D6,2041,0.0557
S3D6,2042,0.0557
S3D6,2043,0.0557
S3D6,2044,0.0557
S3D6,2045,0.0557
S3D6,2046,0.0557
S3D6,2047,0.0557
S3D6,2048,0.0557
S3D6,2049,0.0557
S3D6,2050,0.0557
S3D4,2021,0.0557
S3D4,2022,0.0557
S3D4,2023,0.0557
S3D4,2024,0.0557
S3D4,2025,0.0557
S3D4,2026,0.0557
S3D4,2027,0.0557
S3D4,2028,0.0557
S3D4,2029,0.0557
S3D4,2030,0.0557
S3D4,2031,0.0557
S3D4,2032,0.0557
S3D4,2033,0.0557
S3D4,2034,0.0557
S3D4,2035,0.0557
S3D4,2036,0.0557
S3D4,2037,0.0557
S3D4,2038,0.0557
S3D4,2039,0.0557
S3D4,2040,0.0557
S3D4,2041,0.0557
S3D4,2042,0.0557
S3D4,2043,0.0557
S3D4,2044,0.0557
S3D4,2045,0.0557
S3D4,2046,0.0557
S3D4,2047,0.0557
S3D4,2048,0.0557
S3D4,2049,0.0557
S3D4,2050,0.0557
S3D5,2021,0.0557
S3D5,2022,0.0557
S3D5,2023,0.0557
S3D5,2024,0.0557
S3D5,2025,0.0557
S3D5,2026,0.0557
S3D5,2027,0.0557
S3D5,2028,0.0557
S3D5,2029,0.0557
S3D5,2030,0.0557
S3D5,2031,0.0557
S3D5,2032,0.0557
S3D5,2033,0.0557
S3D5,2034,0.0557
S3D5,2035,0.0557
S3D5,2036,0.0557
S3D5,2037,0.0557
S3D5,2038,0.0557
S3D5,2039,0.0557
S3D5,2040,0.0557
S3D5,2041,0.0557
S3D5,2042,0.0557
S3D5,2043,0.0557
S3D5,2044,0.0557
S3D5,2045,0.0557
S3D5,2046,0.0557
S3D5,2047,0.0557
S3D5,2048,0.0557
S3D5,2049,0.0557
S3D5,2050,0.0557
S1D1,2021,0.0548
S1D1,2022,0.0548
S1D1,2023,0.0548
S1D1,2024,0.0548
S1D1,2025,0.0548
S1D1,2026,0.0548
S1D1,2027,0.0548
S1D1,2028,0.0548
S1D1,2029,0.0548
S1D1,2030,0.0548
S1D1,2031,0.0548
S1D1,2032,0.0548
S1D1,2033,0.0548
S1D1,2034,0.0548
S1D1,2035,0.0548
S1D1,2036,0.0548
S1D1,2037,0.0548
S1D1,2038,0.0548
S1D1,2039,0.0548
S1D1,2040,0.0548
S1D1,2041,0.0548
S1D1,2042,0.0548
S1D1,2043,0.0548
S1D1,2044,0.0548
S1D1,2045,0.0548
S1D1,2046,0.0548
S1D1,2047,0.0548
S1D1,2048,0.0548
S1D1,2049,0.0548
S1D1,2050,0.0548
S1D6,2021,0.0548
S1D6,2022,0.0548
S1D6,2023,0.0548
S1D6,2024,0.0548
S1D6,2025,0.0548
S1D6,2026,0.0548
S1D6,2027,0.0548
S1D6,2028,0.0548
S1D6,2029,0.0548
S1D6,2030,0.0548
S1D6,2031,0.0548
S1D6,2032,0.0548
S1D6,2033,0.0548
S1D6,2034,0.0548
S1D6,2035,0.0548
S1D6,2036,0.0548
S1D6,2037,0.0548
S1D6,2038,0.0548
S1D6,2039,0.0548
S1D6,2040,0.0548
S1D6,2041,0.0548
S1D6,2042,0.0548
S1D6,2043,0.0548
S1D6,2044,0.0548
S1D6,2045,0.0548
S1D6,2046,0.0548
S1D6,2047,0.0548
S1D6,2048,0.0548
S1D6,2049,0.0548
S1D6,2050,0.0548
S1D2,2021,0.0548
S1D2,2022,0.0548
S1D2,2023,0.0548
S1D2,2024,0.0548
S1D2,2025,0.0548
S1D2,2026,0.0548
S1D2,2027,0.0548
S1D2,2028,0.0548
S1D2,2029,0.0548
S1D2,2030,0.0548
S1D2,2031,0.0548
S1D2,2032,0.0548
S1D2,2033,0.0548
S1D2,2034,0.0548
S1D2,2035,0.0548
S1D2,2036,0.0548
S1D2,2037,0.0548
S1D2,2038,0.0548
S1D2,2039,0.0548
S1D2,2040,0.0548
S1D2,2041,0.0548
S1D2,2042,0.0548
S1D2,2043,0.0548
S1D2,2044,0.0548
S1D2,2045,0.0548
S1D2,2046,0.0548
S1D2,2047,0.0548
S1D2,2048,0.0548
S1D2,2049,0.0548
S1D2,2050,0.0548
S1D3,2021,0.0548
S1D3,2022,0.0548
S1D3,2023,0.0548
S1D3,2024,0.0548
S1D3,2025,0.0548
S1D3,2026,0.0548
S1D3,2027,0.0548
S1D3,2028,0.0548
S1D3,2029,0.0548
S1D3,2030,0.0548
S1D3,2031,0.0548
S1D3,2032,0.0548
S1D3,2033,0.0548
S1D3,2034,0.0548
S1D3,2035,0.0548
S1D3,2036,0.0548
S1D3,2037,0.0548
S1D3,2038,0.0548
S1D3,2039,0.0548
S1D3,2040,0.0548
S1D3,2041,0.0548
S1D3,2042,0.0548
S1D3,2043,0.0548
S1D3,2044,0.0548
S1D3,2045,0.0548
S1D3,2046,0.0548
S1D3,2047,0.0548
S1D3,2048,0.0548
S1D3,2049,0.0548
S1D3,2050,0.0548
S1D4,2021,0.0548
S1D4,2022,0.0548
S1D4,2023,0.0548
S1D4,2024,0.0548
S1D4,2025,0.0548
S1D4,2026,0.0548
S1D4,2027,0.0548
S1D4,2028,0.0548
S1D4,2029,0.0548
S1D4,2030,0.0548
S1D4,2031,0.0548
S1D4,2032,0.0548
S1D4,2033,0.0548
S1D4,2034,0.0548
S1D4,2035,0.0548
S1D4,2036,0.0548
S1D4,2037,0.0548
S1D4,2038,0.0548
S1D4,2039,0.0548
S1D4,2040,0.0548
S1D4,2041,0.0548
S1D4,2042,0.0548
S1D4,2043,0.0548
S1D4,2044,0.0548
S1D4,2045,0.0548
S1D4,2046,0.0548
S1D4,2047,0.0548
S1D4,2048,0.0548
S1D4,2049,0.0548
S1D4,2050,0.0548
S1D5,2021,0.0548
S1D5,2022,0.0548
S1D5,2023,0.0548
S1D5,2024,0.0548
S1D5,2025,0.0548
S1D5,2026,0.0548
S1D5,2027,0.0548
S1D5,2028,0.0548
S1D5,2029,0.0548
S1D5,2030,0.0548
S1D5,2031,0.0548
S1D5,2032,0.0548
S1D5,2033,0.0548
S1D5,2034,0.0548
S1D5,2035,0.0548
S1D5,2036,0.0548
S1D5,2037,0.0548
S1D5,2038,0.0548
S1D5,2039,0.0548
S1D5,2040,0.0548
S1D5,2041,0.0548
S1D5,2042,0.0548
S1D5,2043,0.0548
S1D5,2044,0.0548
S1D5,2045,0.0548
S1D5,2046,0.0548
S1D5,2047,0.0548
S1D5,2048,0.0548
S1D5,2049,0.0548
S1D5,2050,0.0548
